date;order_id;quantity;article_id;category_id;customer_id;;;;;;;
01/01/2020;1;73;A010;C1;CU0128;;Cantidad de órdenes despachadas;;;;;
01/01/2020;2;83;A005;C3;CU0159;;;;;;;
01/01/2020;3;27;A008;C2;CU0098;;15414826;;;;;
01/01/2020;4;40;A002;C1;CU0046;;;;;;;
01/01/2020;5;54;A011;C1;CU0138;;;;;;;
01/01/2020;6;49;A019;C1;CU0149;;;;;;;
01/01/2020;7;9;A012;C3;CU0215;;;;;;;
01/01/2020;8;10;A014;C3;CU0010;;;;;;;
01/01/2020;9;60;A002;C1;CU0180;;Monto total de ventas;;;;;
01/01/2020;10;39;A005;C2;CU0007;;;;;;;
01/01/2020;11;38;A007;C2;CU0038;;Articulo;Cantidad;;Articulo;Monto;Total
01/01/2020;12;75;A008;C2;CU0146;;Etiquetas de fila;Suma de quantity;;;;
02/01/2020;13;58;A005;C2;CU0093;;A001;21906;;;;
02/01/2020;14;68;A001;C3;CU0197;;A002;24014;;;;
02/01/2020;15;16;A012;C2;CU0044;;A003;25633;;;;
02/01/2020;16;82;A002;C1;CU0173;;A004;22910;;;;
02/01/2020;17;94;A003;C3;CU0209;;A005;26357;;;;
02/01/2020;18;21;A008;C2;CU0062;;A006;22990;;;;
02/01/2020;19;90;A006;C2;CU0005;;A007;25426;;;;
02/01/2020;20;65;A011;C2;CU0196;;A008;25320;;;;
02/01/2020;21;32;A002;C1;CU0228;;A009;24531;;;;
02/01/2020;22;88;A008;C3;CU0217;;A010;25184;;;;
02/01/2020;23;73;A008;C3;CU0150;;A011;20057;;;;
02/01/2020;24;92;A015;C3;CU0003;;A012;22775;;;;
02/01/2020;25;81;A011;C3;CU0120;;A013;21060;;;;
02/01/2020;26;28;A011;C3;CU0179;;A014;25962;;;;
02/01/2020;27;82;A014;C1;CU0215;;A015;23516;;;;
04/01/2020;28;77;A015;C2;CU0011;;A016;26118;;;;
04/01/2020;29;59;A017;C2;CU0084;;A017;23204;;;;
04/01/2020;30;35;A008;C3;CU0086;;A018;20542;;;;
04/01/2020;31;33;A003;C1;CU0189;;A019;22578;;;;
04/01/2020;32;10;A017;C1;CU0250;;Total general;450083;;;;
04/01/2020;33;3;A001;C3;CU0136;;;;;;;
04/01/2020;34;21;A006;C1;CU0004;;;;;;;
04/01/2020;35;68;A001;C2;CU0007;;;;;;;
04/01/2020;36;93;A013;C1;CU0120;;;;;;;
04/01/2020;37;82;A012;C2;CU0244;;;;;;;
04/01/2020;38;47;A015;C1;CU0067;;;;;;;
04/01/2020;39;74;A013;C3;CU0041;;;;;;;
05/01/2020;40;72;A002;C3;CU0163;;;;;;;
05/01/2020;41;60;A005;C1;CU0176;;;;;;;
05/01/2020;42;3;A003;C2;CU0188;;;;;;;
05/01/2020;43;76;A014;C2;CU0083;;;;;;;
05/01/2020;44;100;A015;C2;CU0191;;;;;;;
05/01/2020;45;4;A019;C1;CU0242;;;;;;;
05/01/2020;46;2;A015;C1;CU0173;;;;;;;
05/01/2020;47;38;A019;C2;CU0076;;;;;;;
05/01/2020;48;5;A004;C2;CU0071;;;;;;;
06/01/2020;49;10;A003;C1;CU0049;;;;;;;
06/01/2020;50;50;A001;C1;CU0050;;;;;;;
06/01/2020;51;96;A001;C1;CU0037;;;;;;;
06/01/2020;52;55;A016;C3;CU0218;;;;;;;
06/01/2020;53;38;A019;C2;CU0079;;;;;;;
06/01/2020;54;31;A019;C2;CU0053;;;;;;;
06/01/2020;55;30;A006;C1;CU0100;;;;;;;
06/01/2020;56;97;A013;C2;CU0189;;;;;;;
06/01/2020;57;99;A008;C1;CU0190;;;;;;;
06/01/2020;58;5;A013;C3;CU0033;;;;;;;
06/01/2020;59;81;A012;C3;CU0060;;;;;;;
06/01/2020;60;2;A011;C2;CU0115;;;;;;;
06/01/2020;61;74;A005;C3;CU0010;;;;;;;
06/01/2020;62;92;A014;C1;CU0146;;;;;;;
06/01/2020;63;60;A009;C1;CU0084;;;;;;;
06/01/2020;64;59;A009;C3;CU0096;;;;;;;
06/01/2020;65;14;A008;C2;CU0152;;;;;;;
06/01/2020;66;49;A016;C2;CU0213;;;;;;;
07/01/2020;67;9;A001;C1;CU0138;;;;;;;
07/01/2020;68;46;A017;C3;CU0237;;;;;;;
07/01/2020;69;60;A010;C1;CU0168;;;;;;;
07/01/2020;70;87;A010;C1;CU0079;;;;;;;
07/01/2020;71;50;A006;C1;CU0128;;;;;;;
07/01/2020;72;55;A005;C1;CU0029;;;;;;;
07/01/2020;73;10;A013;C2;CU0213;;;;;;;
07/01/2020;74;22;A011;C3;CU0089;;;;;;;
08/01/2020;75;2;A017;C2;CU0131;;;;;;;
08/01/2020;76;38;A006;C2;CU0202;;;;;;;
08/01/2020;77;91;A019;C2;CU0015;;;;;;;
08/01/2020;78;48;A011;C1;CU0188;;;;;;;
09/01/2020;79;59;A019;C2;CU0084;;;;;;;
09/01/2020;80;93;A014;C2;CU0092;;;;;;;
09/01/2020;81;86;A009;C3;CU0051;;;;;;;
09/01/2020;82;61;A013;C2;CU0224;;;;;;;
09/01/2020;83;95;A003;C1;CU0092;;;;;;;
09/01/2020;84;10;A005;C3;CU0216;;;;;;;
09/01/2020;85;71;A003;C2;CU0004;;;;;;;
10/01/2020;86;32;A012;C3;CU0234;;;;;;;
10/01/2020;87;90;A009;C3;CU0100;;;;;;;
10/01/2020;88;12;A012;C2;CU0203;;;;;;;
10/01/2020;89;12;A016;C3;CU0224;;;;;;;
10/01/2020;90;64;A014;C2;CU0212;;;;;;;
10/01/2020;91;4;A006;C3;CU0128;;;;;;;
10/01/2020;92;61;A007;C1;CU0185;;;;;;;
10/01/2020;93;94;A003;C3;CU0235;;;;;;;
10/01/2020;94;91;A010;C1;CU0111;;;;;;;
10/01/2020;95;71;A015;C2;CU0053;;;;;;;
10/01/2020;96;97;A003;C3;CU0041;;;;;;;
10/01/2020;97;37;A010;C1;CU0046;;;;;;;
10/01/2020;98;18;A018;C2;CU0032;;;;;;;
10/01/2020;99;33;A010;C1;CU0007;;;;;;;
10/01/2020;100;10;A009;C3;CU0187;;;;;;;
10/01/2020;101;36;A015;C2;CU0216;;;;;;;
10/01/2020;102;10;A004;C1;CU0095;;;;;;;
10/01/2020;103;43;A009;C1;CU0129;;;;;;;
10/01/2020;104;17;A013;C2;CU0235;;;;;;;
10/01/2020;105;29;A002;C1;CU0105;;;;;;;
10/01/2020;106;28;A006;C3;CU0069;;;;;;;
10/01/2020;107;21;A013;C1;CU0119;;;;;;;
10/01/2020;108;32;A005;C2;CU0166;;;;;;;
11/01/2020;109;87;A008;C2;CU0070;;;;;;;
11/01/2020;110;36;A003;C1;CU0186;;;;;;;
11/01/2020;111;92;A017;C1;CU0218;;;;;;;
11/01/2020;112;59;A008;C2;CU0179;;;;;;;
11/01/2020;113;22;A017;C3;CU0250;;;;;;;
11/01/2020;114;49;A006;C3;CU0142;;;;;;;
11/01/2020;115;29;A008;C3;CU0008;;;;;;;
11/01/2020;116;55;A018;C2;CU0201;;;;;;;
11/01/2020;117;38;A015;C3;CU0133;;;;;;;
11/01/2020;118;27;A011;C1;CU0111;;;;;;;
11/01/2020;119;95;A003;C1;CU0032;;;;;;;
12/01/2020;120;10;A011;C1;CU0017;;;;;;;
12/01/2020;121;68;A014;C3;CU0224;;;;;;;
12/01/2020;122;6;A003;C2;CU0047;;;;;;;
12/01/2020;123;98;A014;C3;CU0102;;;;;;;
12/01/2020;124;8;A008;C2;CU0217;;;;;;;
12/01/2020;125;11;A006;C3;CU0116;;;;;;;
12/01/2020;126;9;A018;C1;CU0100;;;;;;;
12/01/2020;127;82;A012;C1;CU0009;;;;;;;
12/01/2020;128;13;A014;C1;CU0185;;;;;;;
12/01/2020;129;34;A010;C1;CU0088;;;;;;;
12/01/2020;130;46;A015;C1;CU0170;;;;;;;
12/01/2020;131;37;A004;C1;CU0224;;;;;;;
12/01/2020;132;8;A016;C1;CU0135;;;;;;;
12/01/2020;133;5;A005;C3;CU0063;;;;;;;
12/01/2020;134;11;A010;C1;CU0231;;;;;;;
13/01/2020;135;26;A017;C2;CU0123;;;;;;;
13/01/2020;136;85;A004;C2;CU0244;;;;;;;
13/01/2020;137;86;A013;C3;CU0162;;;;;;;
13/01/2020;138;74;A011;C2;CU0114;;;;;;;
13/01/2020;139;37;A014;C1;CU0243;;;;;;;
13/01/2020;140;53;A018;C3;CU0177;;;;;;;
13/01/2020;141;85;A015;C1;CU0151;;;;;;;
13/01/2020;142;15;A011;C2;CU0185;;;;;;;
13/01/2020;143;18;A014;C1;CU0045;;;;;;;
13/01/2020;144;84;A019;C2;CU0186;;;;;;;
13/01/2020;145;31;A007;C1;CU0223;;;;;;;
13/01/2020;146;45;A004;C3;CU0226;;;;;;;
13/01/2020;147;88;A005;C1;CU0246;;;;;;;
13/01/2020;148;53;A017;C3;CU0009;;;;;;;
13/01/2020;149;39;A009;C2;CU0211;;;;;;;
13/01/2020;150;52;A010;C1;CU0089;;;;;;;
13/01/2020;151;83;A012;C1;CU0235;;;;;;;
13/01/2020;152;66;A017;C3;CU0050;;;;;;;
13/01/2020;153;39;A001;C2;CU0149;;;;;;;
13/01/2020;154;31;A007;C3;CU0033;;;;;;;
13/01/2020;155;79;A004;C2;CU0118;;;;;;;
13/01/2020;156;12;A018;C2;CU0168;;;;;;;
13/01/2020;157;81;A019;C1;CU0218;;;;;;;
13/01/2020;158;11;A008;C1;CU0151;;;;;;;
14/01/2020;159;50;A002;C1;CU0131;;;;;;;
14/01/2020;160;58;A007;C1;CU0091;;;;;;;
14/01/2020;161;48;A012;C3;CU0096;;;;;;;
14/01/2020;162;78;A016;C2;CU0063;;;;;;;
14/01/2020;163;87;A016;C3;CU0243;;;;;;;
14/01/2020;164;50;A010;C1;CU0153;;;;;;;
14/01/2020;165;87;A002;C1;CU0120;;;;;;;
14/01/2020;166;66;A012;C2;CU0222;;;;;;;
14/01/2020;167;82;A013;C1;CU0087;;;;;;;
14/01/2020;168;43;A014;C3;CU0179;;;;;;;
14/01/2020;169;27;A007;C1;CU0121;;;;;;;
14/01/2020;170;22;A010;C1;CU0150;;;;;;;
14/01/2020;171;83;A010;C1;CU0147;;;;;;;
14/01/2020;172;14;A015;C2;CU0137;;;;;;;
14/01/2020;173;64;A004;C3;CU0211;;;;;;;
14/01/2020;174;22;A003;C2;CU0144;;;;;;;
14/01/2020;175;17;A009;C2;CU0006;;;;;;;
14/01/2020;176;39;A003;C3;CU0092;;;;;;;
14/01/2020;177;51;A015;C3;CU0230;;;;;;;
14/01/2020;178;32;A005;C1;CU0045;;;;;;;
15/01/2020;179;31;A016;C3;CU0024;;;;;;;
15/01/2020;180;39;A007;C2;CU0135;;;;;;;
15/01/2020;181;18;A008;C1;CU0207;;;;;;;
15/01/2020;182;36;A007;C1;CU0092;;;;;;;
16/01/2020;183;97;A011;C3;CU0096;;;;;;;
16/01/2020;184;9;A007;C2;CU0117;;;;;;;
16/01/2020;185;11;A008;C1;CU0053;;;;;;;
16/01/2020;186;96;A009;C1;CU0159;;;;;;;
16/01/2020;187;39;A004;C2;CU0217;;;;;;;
16/01/2020;188;38;A001;C2;CU0086;;;;;;;
16/01/2020;189;57;A015;C1;CU0126;;;;;;;
16/01/2020;190;71;A018;C1;CU0005;;;;;;;
16/01/2020;191;64;A001;C2;CU0229;;;;;;;
16/01/2020;192;37;A013;C3;CU0221;;;;;;;
16/01/2020;193;71;A008;C2;CU0066;;;;;;;
16/01/2020;194;73;A003;C2;CU0248;;;;;;;
16/01/2020;195;93;A002;C3;CU0052;;;;;;;
16/01/2020;196;40;A002;C3;CU0046;;;;;;;
16/01/2020;197;43;A006;C1;CU0170;;;;;;;
16/01/2020;198;83;A011;C1;CU0036;;;;;;;
16/01/2020;199;70;A002;C2;CU0054;;;;;;;
17/01/2020;200;60;A003;C3;CU0054;;;;;;;
17/01/2020;201;32;A011;C3;CU0231;;;;;;;
17/01/2020;202;64;A016;C3;CU0011;;;;;;;
17/01/2020;203;85;A005;C1;CU0182;;;;;;;
17/01/2020;204;6;A008;C2;CU0071;;;;;;;
17/01/2020;205;86;A010;C1;CU0239;;;;;;;
17/01/2020;206;53;A006;C2;CU0080;;;;;;;
17/01/2020;207;15;A002;C2;CU0047;;;;;;;
17/01/2020;208;39;A018;C3;CU0078;;;;;;;
17/01/2020;209;76;A012;C1;CU0172;;;;;;;
17/01/2020;210;92;A006;C1;CU0096;;;;;;;
18/01/2020;211;21;A017;C3;CU0245;;;;;;;
18/01/2020;212;93;A006;C1;CU0112;;;;;;;
18/01/2020;213;38;A003;C3;CU0220;;;;;;;
18/01/2020;214;10;A011;C3;CU0070;;;;;;;
18/01/2020;215;12;A012;C3;CU0027;;;;;;;
18/01/2020;216;5;A001;C2;CU0064;;;;;;;
18/01/2020;217;98;A018;C1;CU0238;;;;;;;
18/01/2020;218;87;A003;C2;CU0117;;;;;;;
18/01/2020;219;58;A012;C3;CU0179;;;;;;;
18/01/2020;220;41;A008;C2;CU0175;;;;;;;
18/01/2020;221;40;A008;C3;CU0205;;;;;;;
18/01/2020;222;12;A008;C1;CU0026;;;;;;;
18/01/2020;223;55;A012;C1;CU0121;;;;;;;
18/01/2020;224;18;A009;C2;CU0175;;;;;;;
18/01/2020;225;37;A009;C1;CU0186;;;;;;;
18/01/2020;226;7;A001;C1;CU0249;;;;;;;
18/01/2020;227;13;A019;C3;CU0086;;;;;;;
18/01/2020;228;4;A006;C1;CU0150;;;;;;;
18/01/2020;229;12;A019;C2;CU0250;;;;;;;
19/01/2020;230;75;A010;C1;CU0054;;;;;;;
19/01/2020;231;23;A009;C1;CU0161;;;;;;;
19/01/2020;232;28;A002;C2;CU0089;;;;;;;
19/01/2020;233;83;A010;C1;CU0210;;;;;;;
19/01/2020;234;59;A019;C3;CU0130;;;;;;;
19/01/2020;235;43;A018;C2;CU0051;;;;;;;
19/01/2020;236;54;A003;C1;CU0007;;;;;;;
19/01/2020;237;11;A003;C1;CU0243;;;;;;;
19/01/2020;238;72;A013;C1;CU0086;;;;;;;
